Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: MyClass.BENCHNIGGA: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 06584355-e20a-416a-bb0f-b52b779b32c0.dll --anonymousPipes 3028 3032 --benchmarkName DiscordBotNet.Bot+MyClass.BENCHNIGGA --job Default --benchmarkId 0 in C:\Users\theiz\Documents\coding\DiscordBotSolution\discordbotnet\bin\Release\net8.0\06584355-e20a-416a-bb0f-b52b779b32c0\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.12
// Runtime=.NET 8.0.6 (8.0.624.26715), X64 RyuJIT AVX2
// GC=Concurrent Server
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob
WorkloadResult  99: 16384 op, 664876400.00 ns, 40.5808 us/op
WorkloadResult  100: 16384 op, 629729400.00 ns, 38.4356 us/op

// AfterAll
// Benchmark Process 1896 has exited with code 0.

Mean = 41.401 μs, StdErr = 0.320 μs (0.77%), N = 100, StdDev = 3.196 μs
Min = 35.676 μs, Q1 = 38.699 μs, Median = 41.631 μs, Q3 = 43.827 μs, Max = 49.172 μs
IQR = 5.128 μs, LowerFence = 31.007 μs, UpperFence = 51.519 μs
ConfidenceInterval = [40.317 μs; 42.485 μs] (CI 99.9%), Margin = 1.084 μs (2.62% of Mean)
Skewness = 0.09, Kurtosis = 2.12, MValue = 2.26

// ** Remained 0 (0.0%) benchmark(s) to run. Estimated finish 2024-08-08 1:20 (0h 0m from now) **
Successfully reverted power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\DiscordBotNet.Bot.MyClass-report.csv
  BenchmarkDotNet.Artifacts\results\DiscordBotNet.Bot.MyClass-report-github.md
  BenchmarkDotNet.Artifacts\results\DiscordBotNet.Bot.MyClass-report.html

// * Detailed results *
MyClass.BENCHNIGGA: DefaultJob
Runtime = .NET 8.0.6 (8.0.624.26715), X64 RyuJIT AVX2; GC = Concurrent Server
Mean = 41.401 μs, StdErr = 0.320 μs (0.77%), N = 100, StdDev = 3.196 μs
Min = 35.676 μs, Q1 = 38.699 μs, Median = 41.631 μs, Q3 = 43.827 μs, Max = 49.172 μs
IQR = 5.128 μs, LowerFence = 31.007 μs, UpperFence = 51.519 μs
ConfidenceInterval = [40.317 μs; 42.485 μs] (CI 99.9%), Margin = 1.084 μs (2.62% of Mean)
Skewness = 0.09, Kurtosis = 2.12, MValue = 2.26
-------------------- Histogram --------------------
[35.648 μs ; 37.563 μs) | @@@@@@@@@@@@@
[37.563 μs ; 40.128 μs) | @@@@@@@@@@@@@@@@@@@@@@@
[40.128 μs ; 42.230 μs) | @@@@@@@@@@@@@@@@@@@@
[42.230 μs ; 44.038 μs) | @@@@@@@@@@@@@@@@@@@@@@@
[44.038 μs ; 45.974 μs) | @@@@@@@@@@@@@@@@
[45.974 μs ; 47.848 μs) | @@@
[47.848 μs ; 49.684 μs) | @@
---------------------------------------------------

// * Summary *

BenchmarkDotNet v0.13.12, Windows 11 (10.0.22631.3958/23H2/2023Update/SunValley3)
Intel Core i7-10870H CPU 2.20GHz, 1 CPU, 16 logical and 8 physical cores
.NET SDK 8.0.302
  [Host]     : .NET 8.0.6 (8.0.624.26715), X64 RyuJIT AVX2
  DefaultJob : .NET 8.0.6 (8.0.624.26715), X64 RyuJIT AVX2


| Method     | Mean     | Error    | StdDev   |
|----------- |---------:|---------:|---------:|
| BENCHNIGGA | 41.40 μs | 1.084 μs | 3.196 μs |

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 μs   : 1 Microsecond (0.000001 sec)

// ***** BenchmarkRunner: End *****
Run time: 00:01:14 (74.45 sec), executed benchmarks: 1

Global total time: 00:01:38 (98.47 sec), executed benchmarks: 1
// * Artifacts cleanup *
Artifacts cleanup is finished
